Age,Income,Loan_Amount,Credit_Score,Months_Employed,Num_Credit_Lines,Interest_Rate,Loan_Term,Debt_Income_Ratio,Education,Employment_Type,Marital_Status,Has_Mortgage,Has_Dependents,Loan_Purpose,Has_CoSigner,Defaulted,Loan_Income_ratio,Credit_score_Band,Age_band,Tenure_band
59,60000,117371,305,50,2,3.37,36,0.58,High School,Unemployed,Single,Yes,No,Auto,Yes,0,1.96,Poor,46-60,3-5 years
21,142986,142571,674,69,2,19.35,60,0.56,Bachelor's,Self-employed,Divorced,Yes,Yes,Education,No,0,1,Good,<25,>5 years
46,59079,122293,585,36,4,20.25,24,0.15,High School,Full-time,Divorced,No,No,Auto,No,0,2.07,Fair,46-60,1-3 years
35,118725,169932,750,80,4,7.86,48,0.37,High School,Full-time,Single,Yes,No,Business,No,0,1.43,Very Good,25-35 ,>5 years
43,130625,17462,303,22,3,17.91,60,0.65,Master's,Self-employed,Married,No,Yes,Business,No,0,0.13,Poor,36-45,1-3 years
61,49191,93324,487,51,2,2.65,12,0.25,High School,Unemployed,Married,No,Yes,Home,Yes,0,1.9,Poor,>60,3-5 years
51,46887,119386,730,70,1,17.44,60,0.47,PhD,Self-employed,Married,No,Yes,Auto,No,0,2.55,Good,46-60,>5 years
27,23574,10480,579,111,1,3.46,12,0.86,Master's,Self-employed,Single,No,Yes,Business,No,0,0.44,Poor,25-35 ,>5 years
53,49335,187180,750,39,3,18.31,60,0.58,PhD,Self-employed,Married,Yes,No,Home,Yes,0,3.79,Very Good,46-60,3-5 years
31,143837,193310,658,63,2,14.15,60,0.45,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,Yes,0,1.34,Fair,25-35 ,>5 years
48,99977,27219,683,111,4,3.12,24,0.75,Bachelor's,Unemployed,Divorced,Yes,Yes,Other,No,0,0.27,Good,46-60,>5 years
65,80770,217916,574,9,3,20.97,36,0.49,High School,Part-time,Single,Yes,No,Home,No,0,2.7,Poor,>60,<1 year
32,46238,134941,421,1,1,12.32,24,0.5,High School,Part-time,Divorced,No,No,Auto,No,0,2.92,Poor,25-35 ,<1 year
25,24742,219541,719,73,3,15.21,12,0.6,PhD,Self-employed,Divorced,No,No,Auto,No,1,8.87,Good,25-35 ,>5 years
31,56982,223728,692,44,1,17.93,24,0.72,High School,Full-time,Divorced,No,Yes,Home,Yes,0,3.93,Good,25-35 ,3-5 years
40,137937,169513,542,25,2,14.38,12,0.57,High School,Part-time,Divorced,No,Yes,Other,No,1,1.23,Poor,36-45,1-3 years
57,109000,17316,453,71,1,3.72,36,0.58,Master's,Full-time,Divorced,No,No,Business,Yes,0,0.16,Poor,46-60,>5 years
38,59243,217215,618,8,1,23.96,48,0.43,High School,Full-time,Single,Yes,No,Home,No,0,3.67,Fair,36-45,<1 year
33,35815,166586,351,65,4,14.96,48,0.87,High School,Unemployed,Divorced,No,No,Auto,No,0,4.65,Poor,25-35 ,>5 years
62,138569,248333,453,101,2,14.1,24,0.44,High School,Part-time,Married,Yes,Yes,Other,Yes,0,1.79,Poor,>60,>5 years
35,90042,159330,659,53,3,4.28,24,0.76,Master's,Self-employed,Divorced,Yes,No,Other,Yes,0,1.77,Fair,25-35 ,3-5 years
64,93741,232727,747,44,1,24.29,24,0.62,Master's,Full-time,Divorced,Yes,Yes,Other,No,0,2.48,Very Good,>60,3-5 years
41,114694,106334,319,45,2,14.42,60,0.18,PhD,Full-time,Single,Yes,No,Home,Yes,0,0.93,Poor,36-45,3-5 years
43,108283,84484,371,58,3,20.56,36,0.49,PhD,Part-time,Single,Yes,No,Home,No,0,0.78,Poor,36-45,3-5 years
42,30200,182868,517,119,3,16.87,24,0.51,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes,0,6.06,Poor,36-45,>5 years
62,25274,134289,701,91,1,13.01,24,0.57,Master's,Unemployed,Married,No,No,Business,Yes,0,5.31,Good,>60,>5 years
58,55299,37681,361,54,1,24.1,36,0.3,Bachelor's,Part-time,Single,No,Yes,Auto,Yes,0,0.68,Poor,46-60,3-5 years
46,100459,174884,578,52,3,22.29,24,0.69,Bachelor's,Full-time,Married,Yes,No,Auto,No,0,1.74,Poor,46-60,3-5 years
32,74554,89606,656,117,2,15.78,12,0.16,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,No,0,1.2,Fair,25-35 ,>5 years
62,47383,13109,553,73,3,19.57,12,0.42,Bachelor's,Unemployed,Married,Yes,No,Business,No,0,0.28,Poor,>60,>5 years
18,148123,243038,734,105,4,10.29,60,0.71,High School,Self-employed,Divorced,Yes,No,Home,No,0,1.64,Good,<25,>5 years
42,128414,79538,346,70,3,2.02,24,0.76,PhD,Unemployed,Single,Yes,Yes,Education,No,0,0.62,Poor,36-45,>5 years
24,40782,172030,585,74,4,2.51,24,0.64,Bachelor's,Part-time,Married,Yes,No,Home,Yes,1,4.22,Fair,<25,>5 years
26,28436,208194,584,86,1,12.71,24,0.58,PhD,Part-time,Married,No,Yes,Other,No,0,7.32,Fair,25-35 ,>5 years
41,145047,34875,811,58,2,21.59,36,0.83,Master's,Full-time,Divorced,Yes,Yes,Education,No,0,0.24,Excellent,36-45,3-5 years
18,93993,132471,481,4,1,17.7,48,0.11,High School,Self-employed,Divorced,Yes,No,Education,Yes,0,1.41,Poor,<25,<1 year
61,137295,81022,447,10,1,8.14,12,0.24,Bachelor's,Unemployed,Single,No,Yes,Education,Yes,0,0.59,Poor,>60,<1 year
25,29782,223983,691,16,1,12.35,24,0.64,Bachelor's,Part-time,Married,Yes,Yes,Education,No,0,7.52,Good,25-35 ,1-3 years
41,39811,85372,607,70,1,4.02,24,0.22,Master's,Self-employed,Single,Yes,No,Business,No,0,2.14,Fair,36-45,>5 years
28,42063,50451,457,82,1,9.8,36,0.17,High School,Unemployed,Divorced,Yes,No,Business,No,0,1.2,Poor,25-35 ,>5 years
68,21711,230251,616,7,1,22.46,12,0.82,Bachelor's,Part-time,Divorced,Yes,No,Home,No,0,10.61,Fair,>60,<1 year
34,103746,229636,551,79,1,14.38,48,0.28,Bachelor's,Full-time,Divorced,No,No,Other,No,0,2.21,Poor,25-35 ,>5 years
25,66282,242287,564,47,3,4.76,24,0.6,High School,Self-employed,Divorced,No,Yes,Other,Yes,0,3.66,Poor,25-35 ,3-5 years
52,132499,84549,315,48,1,21.42,12,0.47,PhD,Self-employed,Divorced,No,Yes,Other,Yes,0,0.64,Poor,46-60,3-5 years
52,132751,31372,436,85,1,23.5,36,0.15,PhD,Unemployed,Married,Yes,Yes,Education,Yes,0,0.24,Poor,46-60,>5 years
50,22773,174149,533,53,4,9.9,60,0.7,High School,Part-time,Divorced,Yes,No,Home,No,1,7.65,Poor,46-60,3-5 years
22,75994,113223,737,47,3,14.46,12,0.86,High School,Full-time,Single,Yes,No,Home,Yes,0,1.49,Good,<25,3-5 years
59,146423,175145,372,69,3,21.64,12,0.31,PhD,Self-employed,Divorced,No,Yes,Auto,No,0,1.2,Poor,46-60,>5 years
56,106429,80930,394,63,3,11.51,36,0.31,PhD,Self-employed,Single,No,Yes,Business,No,0,0.76,Poor,46-60,>5 years
58,45015,103293,834,12,2,11.08,60,0.51,Bachelor's,Unemployed,Married,Yes,No,Auto,Yes,0,2.29,Excellent,46-60,1-3 years
45,57096,148064,339,6,3,21.04,48,0.35,Master's,Unemployed,Married,Yes,Yes,Education,Yes,0,2.59,Poor,36-45,<1 year
24,101452,155664,415,17,3,19.62,12,0.19,Master's,Full-time,Married,No,Yes,Other,Yes,0,1.53,Poor,<25,1-3 years
26,58478,174639,668,28,3,13.11,60,0.88,High School,Unemployed,Single,No,Yes,Home,No,0,2.99,Fair,25-35 ,1-3 years
25,80893,141331,748,68,3,2.25,12,0.83,High School,Part-time,Married,No,Yes,Auto,No,0,1.75,Very Good,25-35 ,>5 years
29,141484,150284,715,12,3,23.05,12,0.86,PhD,Unemployed,Divorced,No,Yes,Home,Yes,0,1.06,Good,25-35 ,1-3 years
51,112897,216797,479,117,2,14.12,60,0.1,PhD,Unemployed,Married,No,Yes,Home,Yes,0,1.92,Poor,46-60,>5 years
50,146992,52331,696,100,4,22.58,60,0.79,High School,Full-time,Divorced,Yes,No,Home,No,0,0.36,Good,46-60,>5 years
65,92816,235363,751,60,3,5.79,12,0.28,PhD,Self-employed,Married,Yes,Yes,Home,Yes,0,2.54,Very Good,>60,#N/A
40,60596,158698,842,16,2,10.21,12,0.51,PhD,Part-time,Single,Yes,Yes,Education,No,0,2.62,Excellent,36-45,1-3 years
41,148629,111722,769,115,1,19.46,48,0.18,Master's,Unemployed,Married,No,Yes,Auto,No,0,0.75,Very Good,36-45,>5 years
54,74954,242196,635,59,4,9.05,36,0.4,Bachelor's,Unemployed,Single,Yes,Yes,Education,Yes,0,3.23,Fair,46-60,3-5 years
52,96409,144564,577,93,1,21.2,36,0.65,Master's,Unemployed,Married,No,Yes,Education,Yes,0,1.5,Poor,46-60,>5 years
61,134076,140885,602,6,2,22.89,60,0.84,Master's,Unemployed,Divorced,No,Yes,Other,Yes,0,1.05,Fair,>60,<1 year
57,97979,146880,497,43,4,12.95,60,0.65,Master's,Full-time,Married,Yes,Yes,Business,No,0,1.5,Poor,46-60,3-5 years
39,91414,104927,811,114,3,3.35,24,0.33,High School,Full-time,Divorced,Yes,No,Education,Yes,0,1.15,Excellent,36-45,>5 years
44,29635,164946,714,9,4,9.55,12,0.31,High School,Full-time,Divorced,No,No,Auto,No,0,5.57,Good,36-45,<1 year
52,78031,140988,578,100,2,2.69,48,0.2,Master's,Part-time,Single,No,Yes,Home,No,0,1.81,Poor,46-60,>5 years
18,60357,130636,396,14,4,4.22,24,0.76,High School,Part-time,Divorced,Yes,Yes,Other,Yes,0,2.16,Poor,<25,1-3 years
52,107173,14655,513,86,3,9.56,36,0.36,High School,Full-time,Married,No,No,Home,No,0,0.14,Poor,46-60,>5 years
54,64517,92300,842,50,4,2.54,12,0.52,Bachelor's,Full-time,Divorced,No,No,Education,No,0,1.43,Excellent,46-60,3-5 years
64,74632,130550,343,13,2,11.95,24,0.86,High School,Part-time,Single,No,Yes,Education,No,0,1.75,Poor,>60,1-3 years
31,105016,75374,522,83,1,20.65,60,0.28,Master's,Full-time,Single,Yes,Yes,Business,Yes,0,0.72,Poor,25-35 ,>5 years
20,16229,230359,335,104,1,22.98,24,0.1,High School,Full-time,Single,Yes,Yes,Business,Yes,0,14.19,Poor,<25,>5 years
18,81192,41548,601,63,3,17.71,48,0.89,Master's,Unemployed,Married,Yes,Yes,Other,No,0,0.51,Fair,<25,>5 years
22,108033,184054,499,11,1,16.77,60,0.28,Bachelor's,Self-employed,Married,Yes,No,Auto,No,0,1.7,Poor,<25,<1 year
43,89715,189510,380,115,1,18.87,24,0.61,Bachelor's,Full-time,Divorced,No,No,Business,Yes,0,2.11,Poor,36-45,>5 years
31,142837,24067,375,68,2,11.85,60,0.14,Master's,Full-time,Single,No,No,Auto,No,0,0.17,Poor,25-35 ,>5 years
56,77101,91461,640,31,2,16.82,60,0.84,PhD,Part-time,Divorced,No,Yes,Education,Yes,0,1.19,Fair,46-60,1-3 years
44,73511,164865,566,86,4,2.33,24,0.56,Bachelor's,Part-time,Divorced,No,No,Business,Yes,0,2.24,Poor,36-45,>5 years
26,78940,119094,627,117,4,11.4,36,0.54,PhD,Full-time,Divorced,Yes,Yes,Auto,No,0,1.51,Fair,25-35 ,>5 years
32,110549,89154,520,110,4,24.31,24,0.66,Master's,Unemployed,Divorced,Yes,No,Education,Yes,0,0.81,Poor,25-35 ,>5 years
32,29815,130015,528,1,4,21.53,12,0.48,PhD,Self-employed,Single,Yes,No,Home,No,1,4.36,Poor,25-35 ,<1 year
43,44236,74159,786,95,3,10.76,48,0.36,High School,Self-employed,Married,No,No,Auto,No,0,1.68,Very Good,36-45,>5 years
59,28301,108810,524,33,3,6.68,36,0.39,Master's,Full-time,Married,No,Yes,Home,No,0,3.84,Poor,46-60,1-3 years
30,58104,145388,449,118,1,23.68,12,0.64,Bachelor's,Self-employed,Divorced,No,Yes,Other,Yes,0,2.5,Poor,25-35 ,>5 years
68,105572,244549,489,27,4,13.84,12,0.9,High School,Unemployed,Single,Yes,No,Business,Yes,0,2.32,Poor,>60,1-3 years
49,92500,68622,439,113,4,20.72,60,0.56,Master's,Full-time,Married,No,No,Other,Yes,0,0.74,Poor,46-60,>5 years
56,38102,74817,401,97,4,8.49,24,0.67,PhD,Unemployed,Divorced,No,Yes,Other,Yes,0,1.96,Poor,46-60,>5 years
66,97972,153562,666,112,2,16.98,60,0.8,PhD,Unemployed,Divorced,No,Yes,Education,No,0,1.57,Fair,>60,>5 years
69,126838,221077,818,35,2,23.15,36,0.37,High School,Self-employed,Single,Yes,Yes,Business,No,0,1.74,Excellent,>60,1-3 years
49,133879,219533,841,33,2,8.82,48,0.3,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,No,0,1.64,Excellent,46-60,1-3 years
21,110519,245997,406,16,2,22.18,48,0.42,High School,Full-time,Divorced,Yes,Yes,Other,Yes,0,2.23,Poor,<25,1-3 years
47,116392,33750,508,88,2,23.3,48,0.26,Bachelor's,Full-time,Divorced,No,Yes,Home,No,0,0.29,Poor,46-60,>5 years
54,65186,159843,743,51,4,14.36,36,0.23,Bachelor's,Unemployed,Single,Yes,No,Home,Yes,0,2.45,Very Good,46-60,3-5 years
40,78286,136444,580,6,2,19.22,24,0.51,PhD,Full-time,Divorced,Yes,Yes,Other,Yes,0,1.74,Fair,36-45,<1 year
56,141454,142537,669,68,1,18.68,36,0.44,Master's,Full-time,Married,No,Yes,Auto,Yes,0,1.01,Fair,46-60,>5 years
62,25124,219669,749,14,3,5.46,60,0.48,High School,Part-time,Single,No,No,Auto,No,0,8.74,Very Good,>60,1-3 years
32,32363,126320,620,49,1,13.96,60,0.61,PhD,Part-time,Single,Yes,Yes,Auto,Yes,0,3.9,Fair,25-35 ,3-5 years
60,72904,162983,536,88,1,8.4,48,0.37,PhD,Unemployed,Single,No,No,Home,Yes,0,2.24,Poor,46-60,>5 years
46,15192,152778,734,115,2,22.42,60,0.47,PhD,Part-time,Married,Yes,No,Auto,Yes,1,10.06,Good,46-60,>5 years
53,30295,137613,375,108,3,10.78,60,0.15,High School,Part-time,Single,No,Yes,Education,Yes,0,4.54,Poor,46-60,>5 years
30,119334,147716,787,49,3,12.1,12,0.88,Master's,Part-time,Single,Yes,No,Auto,No,0,1.24,Very Good,25-35 ,3-5 years
49,134889,86160,592,40,1,13.22,60,0.32,Master's,Full-time,Married,No,Yes,Home,No,0,0.64,Fair,46-60,3-5 years
24,49119,123531,541,52,2,7.55,60,0.52,High School,Full-time,Single,No,Yes,Business,No,0,2.51,Poor,<25,3-5 years
68,142277,79391,316,39,4,13.76,48,0.88,Bachelor's,Part-time,Married,Yes,No,Education,No,0,0.56,Poor,>60,3-5 years
39,99269,232619,720,68,2,11.86,24,0.19,Master's,Full-time,Single,No,Yes,Home,No,0,2.34,Good,36-45,>5 years
45,107954,100080,609,18,4,16.02,48,0.29,High School,Full-time,Single,No,Yes,Home,Yes,1,0.93,Fair,36-45,1-3 years
19,25678,134161,705,63,3,21.18,60,0.2,Bachelor's,Full-time,Divorced,Yes,No,Education,No,1,5.22,Good,<25,>5 years
59,17550,227024,795,69,1,4.52,24,0.22,Bachelor's,Self-employed,Married,No,No,Business,Yes,0,12.94,Very Good,46-60,>5 years
62,58724,92125,674,77,2,20.87,24,0.26,High School,Unemployed,Married,Yes,No,Other,Yes,1,1.57,Good,>60,>5 years
23,83406,139957,424,109,2,11.49,60,0.72,Master's,Unemployed,Divorced,No,No,Home,Yes,0,1.68,Poor,<25,>5 years
45,54095,34835,770,94,4,15.15,24,0.8,High School,Full-time,Married,No,Yes,Education,No,0,0.64,Very Good,36-45,>5 years
45,148252,210244,695,8,4,15.1,48,0.34,PhD,Full-time,Single,Yes,Yes,Home,Yes,0,1.42,Good,36-45,<1 year
61,52904,223407,407,34,3,22.35,36,0.1,PhD,Unemployed,Divorced,Yes,Yes,Auto,Yes,0,4.22,Poor,>60,1-3 years
61,96822,230960,611,101,1,21.22,12,0.73,Master's,Unemployed,Married,No,No,Home,No,0,2.39,Fair,>60,>5 years
37,131836,22699,657,103,2,24.04,48,0.71,PhD,Part-time,Divorced,Yes,No,Business,Yes,0,0.17,Fair,36-45,>5 years
47,37882,138883,398,59,2,7.92,36,0.69,PhD,Self-employed,Single,Yes,Yes,Home,No,0,3.67,Poor,46-60,3-5 years
28,72464,129521,739,41,3,17.45,24,0.54,High School,Full-time,Single,Yes,No,Other,Yes,0,1.79,Good,25-35 ,3-5 years
45,15926,93334,777,76,1,5.95,48,0.12,PhD,Part-time,Married,Yes,No,Home,No,0,5.86,Very Good,36-45,>5 years
42,38024,106385,763,50,2,2.12,48,0.62,PhD,Unemployed,Single,Yes,Yes,Business,Yes,0,2.8,Very Good,36-45,3-5 years
56,145071,31141,480,8,1,5.42,36,0.19,High School,Unemployed,Married,No,Yes,Auto,Yes,0,0.21,Poor,46-60,<1 year
50,19296,91875,826,25,1,24.32,60,0.36,Bachelor's,Part-time,Single,No,Yes,Auto,Yes,0,4.76,Excellent,46-60,1-3 years
18,146668,215629,517,31,4,5.24,12,0.77,High School,Full-time,Married,No,Yes,Other,No,0,1.47,Poor,<25,1-3 years
44,114043,198339,406,92,4,15.74,48,0.65,Master's,Part-time,Married,No,Yes,Other,Yes,0,1.74,Poor,36-45,>5 years
69,19459,29148,726,31,4,5.27,24,0.66,High School,Unemployed,Married,Yes,Yes,Other,No,0,1.5,Good,>60,1-3 years
30,87178,85001,310,92,2,16.66,12,0.55,High School,Part-time,Married,Yes,No,Education,Yes,0,0.98,Poor,25-35 ,>5 years
